temperaturemin,temperaturemax,precipitation,avgwindspeed,fastest2minwinddir,fastest2minwindspeed,fastest5secwinddir,fastest5secwindspeed,fog,fogheavy,mist,rain,fogground,ice,glaze,drizzle,snow,freezingrain,smokehaze,thunder,highwind,hail,blowingsnow,dust,freezingfog
55,82,0,2.91,240,16.11,230,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
37.9,71.1,0,2.01,20,8.05,290,14.09,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
55.9,63,0.88,4.7,30,16.11,30,23.04,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
42.1,73.9,0,0.89,80,8.05,100,12.08,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
57.9,73,0.01,5.14,250,10.07,250,14.99,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
37,57,0.19,5.82,70,17,70,23.04,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
36,54,0,7.38,250,21.03,270,31.09,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
25,53.1,0,0.45,50,6.04,160,10.07,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
19.9,48,0,5.37,210,12.97,230,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
21.9,42.1,0.05,8.95,240,23.04,230,33.11,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
19,37,0,2.46,30,12.08,30,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
23,57,0,3.58,220,8.95,220,12.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
35.1,66,0,1.79,240,12.08,230,14.09,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
42.1,68,0,4.47,80,16.11,70,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
64.9,93.9,0,7.61,240,14.99,240,21.03,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No
71.1,88,0.01,4.7,140,12.97,140,17,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No
71.1,93,0,3.8,270,12.97,240,19.91,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
72,93.9,0.01,2.46,230,14.99,220,17,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
79,100,0,9.62,230,17.9,240,25.95,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
73.9,93.9,0,5.14,250,12.97,220,16.11,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
73,89.1,0,5.59,60,14.09,30,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
64,78.1,0.12,2.91,100,10.07,110,16.11,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
75,96.1,0.1,6.49,240,19.91,230,27.96,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
66.9,90,0,3.36,130,12.97,140,19.91,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
