Segment,Segment Name,Family,Family Name,Class,Commodity,Commodity Name
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10101500,10101501,Cats
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10101500,10101502,Dogs
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10101500,10101504,Mink
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10101600,10101604,Live geese
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10101600,10101605,Live pheasants
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10101600,10101606,Live ostrich
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10101600,10101607,Live guinea fowl
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10101700,10101701,Live salmon
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10101700,10101702,Live trout
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10101800,10101810,Live sponge
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10101800,10101811,Live lobster
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10101900,10101901,Butterflies
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10101900,10101902,Beetles
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10101900,10101903,Bees
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10101900,10101904,Silkworms
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10101900,10101905,Live chilean recluse spider
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10101900,10101906,Live aphid lion or chrysoperla externa
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10101900,10101907,Live insidious flower bug
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10101900,10101908,Live southern black widow
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10101900,10101909,Live sugarcane borer or stem borer
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10102000,10102001,Elephants
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10102000,10102002,Live foxes
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10102000,10102003,Live bothrops pit viper snake
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10102000,10102004,Live chironius or vine snake
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10102000,10102005,Live clelia or mussurana snake
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10102000,10102006,Live drymarchon or indigo snake
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10102000,10102007,Live epicrates or rainbow boa snake
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10102000,10102008,Live giraffe
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10102000,10102009,Live bushmaster or lachesis snake
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10102000,10102010,Live coral or micrurus snake
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10102000,10102011,Live paca
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10102000,10102012,Live philodryas snake
10000000,Live Plant and Animal Material and Accessories and Supplies,10100000,Live animals,10102000,10102013,Live xenodon snake
10000000,Live Plant and Animal Material and Accessories and Supplies,10110000,Domestic pet products,10111300,10111301,Pet toys
10000000,Live Plant and Animal Material and Accessories and Supplies,10110000,Domestic pet products,10111300,10111302,Pet grooming products
10000000,Live Plant and Animal Material and Accessories and Supplies,10110000,Domestic pet products,10111300,10111303,Pet litter or equipment for pet waste management
10000000,Live Plant and Animal Material and Accessories and Supplies,10110000,Domestic pet products,10111300,10111304,Pet food bowls or equipment
